id_enrolement,id_piece,type_anomalie,regles_attendues,champ,valeur_saisie,valeur_attendue
ENR-003661,CC-001917,TELEPHONE_INVALIDE,R10,telephone,01O2127642,(numéro valide attendu : 01 + 8 chiffres)
ENR-003662,PP-002427,ECART_DATE_NAISSANCE,R03,date_naissance,2016-10-10,2016-09-10
ENR-003684,CC-004972,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,GBAGUIDI Rosine
ENR-003708,AN-001686,DOUBLON,R11,id_piece,AN-001686,déjà enrôlé sous ENR-003418
ENR-003709,AN-000206,TELEPHONE_INVALIDE,R10,telephone,01O2929458,(numéro valide attendu : 01 + 8 chiffres)
ENR-003729,AN-002350,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,ADJOVI Rosine
ENR-003754,AN-000713,DOUBLON,R11,id_piece,AN-000713,déjà enrôlé sous ENR-003147
ENR-003765,AN-004557,TELEPHONE_INVALIDE,R10,telephone,147750683,(numéro valide attendu : 01 + 8 chiffres)
ENR-003781,CC-002219,TELEPHONE_INVALIDE,R10,telephone,03276498,(numéro valide attendu : 01 + 8 chiffres)
ENR-003784,CC-002996,ECART_SEXE,R04,sexe,F,M
ENR-003832,AN-002320,ECART_DATE_NAISSANCE,R03,date_naissance,1996-08-13,1996-08-11
ENR-003841,AN-003339,TELEPHONE_INVALIDE,R10,telephone,013462727135,(numéro valide attendu : 01 + 8 chiffres)
ENR-003863,AN-002910,ECART_SEXE,R04,sexe,F,M
ENR-003875,AN-004969,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,GLELE Estelle
ENR-003891,PP-000960,ECART_NOM,R01,nom,VDOUNON,VODOUNON
ENR-003914,PP-000514,CODE_COMMUNE_INEXISTANT,R05;R08,code_commune_naissance,9999,0302
ENR-003919,AN-002833,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,0202,0506
ENR-003925,AN-000306,ECART_PRENOMS,R02,prenoms,ariam,Mariam
ENR-003936,AN-001823,ECART_DATE_NAISSANCE,R03,date_naissance,1982-07-08,1982-08-07
ENR-003948,AN-001675,DOUBLON,R11,id_piece,AN-001675,déjà enrôlé sous ENR-003639
ENR-003958,AN-004579,DOUBLON,R11,id_piece,AN-004579,déjà enrôlé sous ENR-003180
ENR-003973,AN-000439,CODE_COMMUNE_INEXISTANT,R05;R08,code_commune_naissance,0399,0703
ENR-003979,AN-000001,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,OSSENI Rosine
ENR-003986,AN-003257,TELEPHONE_INVALIDE,R10,telephone,0285845104,(numéro valide attendu : 01 + 8 chiffres)
ENR-003991,AN-001007,ECART_NOM,R01,nom,SCHIBOZO,TCHIBOZO
ENR-004000,PP-004321,ECART_PRENOMS,R02,prenoms,Ayaba Aïcha,Aïcha Ayaba
ENR-004009,AN-004220,DOUBLON,R11,id_piece,AN-004220,déjà enrôlé sous ENR-003415
ENR-004022,AN-002286,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,AGBODJAN Mariam
ENR-004030,AN-000298,ECART_NOM,R01,nom,SAGGBO,SAGBO
ENR-004040,AN-002733,ECART_NOM,R01,nom,GLEL,GLELE
ENR-004043,AN-003321,ECART_DATE_NAISSANCE,R03,date_naissance,1997-05-19,1997-05-18
ENR-004055,PP-001054,DOUBLON,R11,id_piece,PP-001054,déjà enrôlé sous ENR-003981
ENR-004068,PP-003742,TELEPHONE_INVALIDE,R10,telephone,870789598,(numéro valide attendu : 01 + 8 chiffres)
ENR-004071,AN-001603,DOUBLON,R11,id_piece,AN-001603,déjà enrôlé sous ENR-003398
ENR-004082,PP-001202,CODE_COMMUNE_INEXISTANT,R05;R08,code_commune_naissance,0000,0606
ENR-004086,AN-002929,TELEPHONE_INVALIDE,R10,telephone,0239985785,(numéro valide attendu : 01 + 8 chiffres)
ENR-004102,AN-004592,AGE_INVRAISEMBLABLE,R03;R07,date_naissance,1893-09-14,2000-06-02
ENR-004104,AN-000474,ECART_DATE_NAISSANCE,R03,date_naissance,1969-04-26,1969-04-25
ENR-004122,AN-001458,ECART_NOM,R01,nom,ADNDE,ADANDE
ENR-004136,AN-001716,ECART_PRENOMS,R02,prenoms,Rachidatou Chimène,Chimène Rachidatou
ENR-004138,AN-002077,ECART_NOM,R01,nom,ZISNOU,ZINSOU
ENR-004147,PP-002202,ECART_DATE_NAISSANCE,R03,date_naissance,1944-09-01,1944-01-09
ENR-004156,AN-002522,ECART_NOM,R01,nom,ALLADDAYE,ALLADAYE
ENR-004166,AN-003103,DATE_NAISSANCE_POSTERIEURE,R03;R06,date_naissance,2026-04-11,1979-09-15
ENR-004170,AN-004727,CODE_COMMUNE_INEXISTANT,R05;R08,code_commune_naissance,9999,0703
ENR-004171,AN-002141,DOUBLON,R11,id_piece,AN-002141,déjà enrôlé sous ENR-003476
ENR-004213,PP-003448,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,0201,0207
ENR-004217,AN-000767,ECART_PRENOMS,R02,prenoms,aFtoumata,Fatoumata
ENR-004243,AN-004482,TELEPHONE_INVALIDE,R10,telephone,016209999808,(numéro valide attendu : 01 + 8 chiffres)
ENR-004244,AN-000230,CODE_COMMUNE_INEXISTANT,R05;R08,code_commune_naissance,1299,0801
ENR-004282,AN-001170,DOUBLON,R11,id_piece,AN-001170,déjà enrôlé sous ENR-003778
ENR-004310,AN-003444,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,1004,0306
ENR-004311,AN-003553,ECART_SEXE,R04,sexe,M,F
ENR-004313,CC-003690,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,0208,1006
ENR-004316,AN-004747,ECART_DATE_NAISSANCE,R03,date_naissance,1979-01-07,1979-07-01
ENR-004319,AN-001345,CODE_COMMUNE_INEXISTANT,R05;R08,code_commune_naissance,0199,0504
ENR-004320,AN-002418,TELEPHONE_INVALIDE,R10,telephone,14851733,(numéro valide attendu : 01 + 8 chiffres)
ENR-004342,AN-002577,ECART_SEXE,R04,sexe,F,M
ENR-004343,PP-002675,TELEPHONE_INVALIDE,R10,telephone,09235523,(numéro valide attendu : 01 + 8 chiffres)
ENR-004395,AN-002461,ECART_PRENOMS,R02,prenoms,Gildsa,Gildas
ENR-004408,AN-003008,CODE_COMMUNE_INEXISTANT,R05;R08,code_commune_naissance,0199,1102
ENR-004412,AN-004156,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,0405,0703
ENR-004419,AN-002887,ECART_PRENOMS,R02,prenoms,Yves Ulrich,Ulrich Yves
ENR-004435,CC-001109,DOUBLON,R11,id_piece,CC-001109,déjà enrôlé sous ENR-004327
ENR-004448,AN-001547,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,SOULEY Aïcha
ENR-004457,AN-004100,ECART_SEXE,R04,sexe,F,M
ENR-004469,AN-003620,AGE_INVRAISEMBLABLE,R03;R07,date_naissance,1886-12-03,1975-12-24
ENR-004514,CC-000180,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,1202,0102
ENR-004522,CC-003642,TELEPHONE_INVALIDE,R10,telephone,01O2029845,(numéro valide attendu : 01 + 8 chiffres)
ENR-004547,CC-000045,ECART_PRENOMS,R02,prenoms,Nadège Espérance,Espérance Nadège
ENR-004552,AN-002495,ECART_PRENOMS,R02,prenoms,Estlele,Estelle
ENR-004558,CC-001892,CODE_COMMUNE_INEXISTANT,R05;R08,code_commune_naissance,1299,0504
ENR-004559,CC-002003,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,MENSAH Gisèle
ENR-004569,AN-004444,ECART_DATE_NAISSANCE,R03,date_naissance,2011-10-22,2011-10-21
ENR-004575,CC-004142,ECART_PRENOMS,R02,prenoms,Judit,Judith
ENR-004618,PP-003061,CODE_COMMUNE_INEXISTANT,R05;R08,code_commune_naissance,9999,0205
ENR-004627,AN-002064,CODE_COMMUNE_INEXISTANT,R05;R08,code_commune_naissance,0199,0408
ENR-004629,AN-002482,ECART_SEXE,R04,sexe,M,F
ENR-004638,AN-001133,CODE_COMMUNE_INEXISTANT,R05;R08,code_commune_naissance,0199,1207
ENR-004653,AN-001964,ECART_SEXE,R04,sexe,F,M
ENR-004670,PP-002839,ECART_DATE_NAISSANCE,R03,date_naissance,1981-03-15,1981-02-13
ENR-004671,AN-003839,DATE_NAISSANCE_POSTERIEURE,R03;R06,date_naissance,2027-06-07,1972-07-30
ENR-004676,AN-002237,TELEPHONE_INVALIDE,R10,telephone,0242031185,(numéro valide attendu : 01 + 8 chiffres)
ENR-004678,AN-002992,CODE_COMMUNE_INEXISTANT,R05;R08,code_commune_naissance,9999,0502
ENR-004684,CC-000881,ECART_SEXE,R04,sexe,F,M
ENR-004686,PP-001966,ECART_PRENOMS,R02,prenoms,Sèèmvo,Sèmèvo
ENR-004710,AN-003753,ECART_PRENOMS,R02,prenoms,Juustin,Justin
ENR-004719,AN-001005,ECART_DATE_NAISSANCE,R03,date_naissance,1949-12-01,1949-11-28
ENR-004730,AN-004254,ECART_DATE_NAISSANCE,R03,date_naissance,1992-12-07,1992-11-07
ENR-004749,CC-002159,AGE_INVRAISEMBLABLE,R03;R07,date_naissance,1900-12-13,2024-03-23
ENR-004773,AN-001902,ECART_NOM,R01,nom,CCHABI,CHABI
ENR-004781,AN-001081,ECART_DATE_NAISSANCE,R03,date_naissance,1975-04-03,1974-04-03
ENR-004809,AN-004685,ECART_PRENOMS,R02,prenoms,Ghislain Yves,Yves Ghislain
ENR-004831,AN-001734,ECART_NOM,R01,nom,FASSSINOU,FASSINOU
ENR-004836,AN-000203,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,0305,0606
ENR-004850,AN-003651,ECART_NOM,R01,nom,SOULY,SOULEY
ENR-004863,PP-002900,ECART_PRENOMS,R02,prenoms,Bienvenu Fidèle,Fidèle Bienvenu
ENR-004865,AN-003524,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,TOSSOU Sènami
ENR-004882,AN-003230,ECART_NOM,R01,nom,TOSSOUU,TOSSOU
ENR-004890,AN-001358,TELEPHONE_INVALIDE,R10,telephone,01O2011758,(numéro valide attendu : 01 + 8 chiffres)
ENR-004894,AN-002590,ECART_DATE_NAISSANCE,R03,date_naissance,1971-05-28,1971-05-18
ENR-004902,CC-002845,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,NOUATIN Prudence
ENR-004915,CC-003765,ECART_SEXE,R04,sexe,F,M
ENR-004922,PP-002232,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,OSSENI Espérance
ENR-004925,AN-002650,CODE_COMMUNE_INEXISTANT,R05;R08,code_commune_naissance,9999,0704
ENR-004928,AN-004426,DOUBLON,R11,id_piece,AN-004426,déjà enrôlé sous ENR-004756
ENR-004931,PP-001079,CODE_COMMUNE_INEXISTANT,R05;R08,code_commune_naissance,0000,0406
ENR-004934,PP-003504,TELEPHONE_INVALIDE,R10,telephone,82286154,(numéro valide attendu : 01 + 8 chiffres)
ENR-004992,AN-000531,ECART_NOM,R01,nom,AMMOUSSOU,AMOUSSOU
ENR-005018,AN-004591,CODE_COMMUNE_INEXISTANT,R05;R08,code_commune_naissance,0199,0206
ENR-005028,AN-004262,DOUBLON,R11,id_piece,AN-004262,déjà enrôlé sous ENR-004604
ENR-005043,AN-001888,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,0408,0602
ENR-005045,PP-003288,ECART_DATE_NAISSANCE,R03,date_naissance,1971-03-18,1971-03-15
ENR-005054,AN-003204,ECART_NOM,R01,nom,DOSSUO,DOSSOU
ENR-005055,AN-004762,DOUBLON,R11,id_piece,AN-004762,déjà enrôlé sous ENR-004744
ENR-005056,AN-003474,DOUBLON,R11,id_piece,AN-003474,déjà enrôlé sous ENR-004642
ENR-005057,AN-004559,DOUBLON,R11,id_piece,AN-004559,déjà enrôlé sous ENR-004716
ENR-005058,AN-002396,DOUBLON,R11,id_piece,AN-002396,déjà enrôlé sous ENR-004584
ENR-005059,AN-000908,DOUBLON,R11,id_piece,AN-000908,déjà enrôlé sous ENR-004838
ENR-005060,AN-000862,DOUBLON,R11,id_piece,AN-000862,déjà enrôlé sous ENR-004938
